country,lifeExp,gdpPercap
Rwanda,23.599,493.3238752
Afghanistan,28.801,635.341351
Gambia,30.0,485.2306591
Angola,30.015,2277.140884
Sierra Leone,30.331,574.6481576
Cambodia,31.22,368.4692856
Mozambique,31.286,389.8761846
Burkina Faso,31.975,543.2552413
Guinea-Bissau,32.5,299.850319
"Yemen, Rep.",32.548,781.7175761
Somalia,32.978,882.0818218
Guinea,33.609,510.1964923
Mali,33.685,452.3369807
Ethiopia,34.078,362.1462796
Equatorial Guinea,34.482,375.6431231
Djibouti,34.812,1895.016984
Central African Republic,35.463,706.016537
Eritrea,35.928,328.9405571
Nepal,36.157,545.8657229
Malawi,36.256,369.1650802
Myanmar,36.319,331.0
Nigeria,36.324,1014.514104
Madagascar,36.681,894.6370822
Gabon,37.003,4293.476475
Senegal,37.278,1367.899369
India,37.373,546.5657493
Niger,37.444,580.3052092
Indonesia,37.468,749.6816546
Bangladesh,37.484,630.2336265
Oman,37.578,1828.230307
Haiti,37.579,1201.637154
Chad,38.092,797.9081006
Benin,38.223,949.4990641
Liberia,38.48,414.5073415
Cameroon,38.523,1172.667655
Togo,38.596,859.8086567
Sudan,38.635,1492.197043
Burundi,39.031,339.2964587
"Congo, Dem. Rep.",39.143,241.1658765
Zambia,39.193,1071.353818
Swaziland,39.613,1148.376626
Saudi Arabia,39.875,6459.554823
Uganda,39.978,617.7244065
Zimbabwe,39.989,406.8841148
Vietnam,40.412,605.0664917
Bolivia,40.414,2127.686326
Cote d'Ivoire,40.477,1388.594732
Mauritania,40.543,743.1159097
Comoros,40.715,986.1478792
Tanzania,41.215,698.5356073
Namibia,41.725,2423.780443
Egypt,41.893,1418.822445
Honduras,41.912,2194.926204
Guatemala,42.023,2428.237769
"Congo, Rep.",42.111,2125.621418
Lesotho,42.138,298.8462121
Mongolia,42.244,786.5668575
Kenya,42.27,853.540919
Nicaragua,42.314,2170.151724
Libya,42.723,2387.54806
Morocco,42.873,1566.353493
Algeria,43.077,2449.008185
Ghana,43.149,847.0061135
Jordan,43.158,1546.907807
West Bank and Gaza,43.16,1515.592329
Pakistan,43.436,684.5971438
Turkey,43.585,1969.10098
Peru,43.902,3758.523437
China,44.0,400.448610699994
Tunisia,44.6,1395.232468
Iran,44.869,3035.326002
South Africa,45.009,4725.295531
El Salvador,45.262,3048.3029
Iraq,45.32,3076.239795
Syria,45.883,1643.485354
Dominican Republic,45.928,1397.717137
Sao Tome and Principe,46.471,860.7369026
Botswana,46.634,851.2411407
"Korea, Rep.",47.453,1030.592226
Philippines,47.752,1272.880995
Ecuador,48.357,3522.110717
Malaysia,48.463,1810.066992
"Korea, Dem. Rep.",50.056,1088.277758
Colombia,50.643,2144.115096
Mexico,50.789,3478.125529
Thailand,50.848,757.7974177
Brazil,50.917,2108.944355
Bahrain,50.939,9867.084765
Mauritius,50.986,1967.955707
Reunion,52.724,2718.885295
Bosnia and Herzegovina,53.82,973.5331948
Chile,54.745,3939.978789
Venezuela,55.088,7689.799761
Panama,55.191,2480.380334
Albania,55.23,1601.056136
Kuwait,55.565,28118.42998
Lebanon,55.928,4834.804067
Costa Rica,57.206,2627.009471
Sri Lanka,57.593,1072.546602
Serbia,57.996,3581.459448
Taiwan,58.5,1206.947913
Jamaica,58.53,2898.530881
Trinidad and Tobago,59.1,3023.271928
Montenegro,59.164,2647.585601
Cuba,59.421,5180.75591
Bulgaria,59.6,2444.286648
Portugal,59.82,3068.319867
Singapore,60.396,2315.138227
"Hong Kong, China",60.96,3054.421209
Romania,61.05,3144.613186
Croatia,61.21,3119.23652
Poland,61.31,4029.329699
Argentina,62.485,5911.315053
Paraguay,62.649,1952.308701
Japan,63.03,3216.956347
Hungary,64.03,5263.673816
Puerto Rico,64.28,3081.959785
Slovak Republic,64.36,5074.659104
Spain,64.94,3834.034742
Israel,65.39,4086.522128
Slovenia,65.57,4215.041741
Greece,65.86,3530.690067
Italy,65.94,4931.404155
Uruguay,66.071,5444.61962
Finland,66.55,6424.519071
Austria,66.8,6137.076492
Czech Republic,66.87,6876.14025
Ireland,66.91,5210.280328
France,67.41,7029.809327
Germany,67.5,7144.114393
Belgium,68.0,8343.105127
United States,68.44,13990.48208
Canada,68.75,11367.16112
Australia,69.12,10039.59564
United Kingdom,69.18,9979.508487
New Zealand,69.39,10556.57566
Switzerland,69.62,14734.23275
Denmark,70.78,9692.385245
Sweden,71.86,8527.844662
Netherlands,72.13,8941.571858
Iceland,72.49,7267.688428
Norway,72.67,10095.42172
